,number of Autoencoders,satellite,waveform
0,1,0.8551289516203662,0.8064960377204345
1,2,0.862226478234654,0.8101801602029185
2,3,0.8619718455580968,0.8128605830016845
3,4,0.8607963967464496,0.816968749148995
4,5,0.8619229882725271,0.8165058023956522
5,6,0.8614872962435645,0.8168598205011496
6,7,0.861151043160526,0.817490050535112
7,8,0.861685024552223,0.8170737874879888
8,9,0.7748156212261339,0.8170154328552145
9,10,0.7766589778710985,0.8175600760944413
