,number of Autoencoders,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
66,67,0.9505,0.9939,0.87,0.9967,0.9998,0.8378,0.5038,0.5493,0.8239
67,68,0.9504,0.9939,0.8704,0.9967,0.9998,0.838,0.5034,0.5493,0.824
68,69,0.9505,0.994,0.8702,0.9967,0.9998,0.838,0.5035,0.5499,0.8241
69,70,0.9506,0.9939,0.8711,0.9967,0.9998,0.8375,0.5035,0.5496,0.8244
70,71,0.9506,0.9939,0.8711,0.9967,0.9998,0.8371,0.5035,0.5493,0.8244
71,72,0.9508,0.9939,0.8711,0.9967,0.9998,0.8356,0.5034,0.5493,0.8242
72,73,0.9506,0.994,0.8707,0.9967,0.9998,0.8353,0.5035,0.5496,0.8241
73,74,0.9503,0.994,0.8705,0.9967,0.9998,0.8352,0.5034,0.5496,0.8238
74,75,0.9505,0.994,0.8702,0.9967,0.9998,0.8347,0.5035,0.5499,0.8238
75,76,0.9506,0.994,0.8703,0.9967,0.9998,0.8337,0.5035,0.5496,0.8238
76,77,0.9506,0.994,0.8706,0.9967,0.9998,0.8337,0.5032,0.5504,0.824
77,78,0.95,0.994,0.8706,0.9967,0.9998,0.8341,0.5032,0.5501,0.824
78,79,0.95,0.994,0.8704,0.9967,0.9998,0.8344,0.5033,0.5507,0.8242
79,80,0.9502,0.994,0.8706,0.9967,0.9998,0.8341,0.5034,0.5504,0.8241
80,81,0.9503,0.994,0.8707,0.9967,0.9998,0.8345,0.503,0.5504,0.824
81,82,0.9503,0.994,0.8707,0.9967,0.9998,0.8345,0.5031,0.5504,0.8241
82,83,0.9502,0.994,0.8709,0.9967,0.9998,0.8343,0.5033,0.5499,0.824
83,84,0.9504,0.994,0.8709,0.9967,0.9997,0.8344,0.5033,0.5499,0.8238
84,85,0.9505,0.994,0.8708,0.9967,0.9997,0.8351,0.5035,0.5499,0.8239
85,86,0.9505,0.994,0.8706,0.9968,0.9997,0.8346,0.5035,0.5499,0.8239
86,87,0.9509,0.994,0.8705,0.9967,0.9997,0.8353,0.5038,0.5499,0.824
87,88,0.9509,0.9939,0.8706,0.9967,0.9997,0.8353,0.5034,0.5499,0.8242
88,89,0.9506,0.994,0.8706,0.9967,0.9997,0.835,0.5033,0.5507,0.824
89,90,0.9506,0.9939,0.8708,0.9967,0.9997,0.8347,0.5031,0.5507,0.8241
90,91,0.9507,0.9939,0.8707,0.9967,0.9997,0.8352,0.5029,0.5501,0.8241
91,92,0.9509,0.9939,0.871,0.9967,0.9997,0.8348,0.5029,0.5507,0.8243
92,93,0.9507,0.9939,0.8709,0.9967,0.9997,0.8346,0.5028,0.5501,0.8242
93,94,0.9509,0.9939,0.8712,0.9967,0.9997,0.8356,0.5026,0.5504,0.8243
94,95,0.9507,0.9939,0.871,0.9967,0.9997,0.8354,0.5027,0.5509,0.8244
95,96,0.9506,0.9939,0.8711,0.9967,0.9997,0.8358,0.5027,0.5509,0.8244
96,97,0.9504,0.9939,0.8709,0.9967,0.9997,0.8355,0.5029,0.5509,0.8244
97,98,0.9507,0.9939,0.8709,0.9967,0.9997,0.8353,0.5026,0.5509,0.8245
98,99,0.9504,0.9939,0.8709,0.9967,0.9997,0.8356,0.5028,0.5507,0.8244
99,100,0.9503,0.9939,0.8707,0.9967,0.9997,0.8354,0.5031,0.5509,0.8245
100,101,0.9503,0.9939,0.8706,0.9967,0.9997,0.8358,0.503,0.5507,0.8245
101,102,0.9503,0.9939,0.8708,0.9967,0.9997,0.8354,0.5032,0.5507,0.8246
102,103,0.9504,0.9939,0.8708,0.9967,0.9997,0.8353,0.5029,0.5501,0.8246
103,104,0.9505,0.9939,0.8707,0.9967,0.9997,0.8358,0.503,0.5504,0.8245
104,105,0.9507,0.9939,0.8707,0.9967,0.9997,0.8355,0.5028,0.5504,0.8245
105,106,0.9504,0.9939,0.8704,0.9967,0.9997,0.8358,0.5029,0.5504,0.8245
