,number of Autoencoders,cardio,gas_drift
0,1,0.9191955061983471,0.9935284876750412
1,2,0.9281379132231405,0.9941271067926359
2,3,0.9439566115702479,0.993244397246352
3,4,0.9433109504132231,0.9931158801476594
4,5,0.9495738636363636,0.9934050436197179
5,6,0.9540934917355373,0.9937770668001441
6,7,0.9530927169421488,0.9934422459377605
7,8,0.9519950929752067,0.9932596163764604
8,9,0.9509620351239669,0.9933238749258066
9,10,0.9526730371900827,0.9932782175354817
10,11,0.9518982438016529,0.9932562343475474
11,12,0.9515431301652892,0.9932731444921122
12,13,0.9518982438016529,0.9931733746391798
13,14,0.9511234504132231,0.9931767566680928
14,15,0.9508651859504132,0.9933492401426539
15,16,0.9513171487603306,0.993398279561892
16,17,0.9507360537190083,0.9933915155040661
17,18,0.950703770661157,0.9933864424606966
18,19,0.9501226756198347,0.9935572349208013
19,20,0.9500903925619835,0.9937483195543839
20,21,0.9503163739669421,0.9937297183953626
21,22,0.9509943181818181,0.9937703027423181
22,23,0.9502195247933883,0.9937669207134052
23,24,0.9499289772727273,0.9936654598460162
24,25,0.9499935433884297,0.993738173467645
25,26,0.9501872417355373,0.9937212633230801
26,27,0.9506069214876033,0.9938244152049256
27,28,0.9502518078512396,0.9938125781037301
28,29,0.9511234504132231,0.993885291725359
29,30,0.9511234504132231,0.9939326401301404
30,31,0.951769111570248,0.9939647694048136
31,32,0.952188791322314,0.9939782975204654
32,33,0.9523502066115702,0.9940222638963341
33,34,0.9529313016528926,0.9939850615782914
34,35,0.9525116219008265,0.9939985896939433
35,36,0.952188791322314,0.9939596963614442
36,37,0.9523824896694215,0.9939749154915526
37,38,0.9529635847107438,0.9939444772313359
38,39,0.9522533574380165,0.9939546233180748
39,40,0.9521242252066116,0.9939698424481831
40,41,0.9515431301652892,0.9939935166505739
41,42,0.9515754132231404,0.9940493201276378
42,43,0.9518013946280992,0.9940205728818775
43,44,0.9517691115702479,0.9940391740408989
44,45,0.9514785640495869,0.9940391740408988
45,46,0.9512525826446281,0.9940391740408988
46,47,0.9510266012396695,0.9940053537517692
47,48,0.9508006198347108,0.9940307189686165
48,49,0.9505746384297522,0.9940002807083997
49,50,0.9507683367768593,0.9939292581012275
50,51,0.9511234504132231,0.9939309491156839
51,52,0.9508974690082644,0.9939410952024228
52,53,0.950574638429752,0.9939326401301404
53,54,0.9510588842975206,0.9939749154915525
54,55,0.9510266012396693,0.9939546233180747
55,56,0.9507037706611571,0.9940019717228563
56,57,0.9508651859504132,0.9940070447662257
57,58,0.9506714876033058,0.9940273369397035
58,59,0.9507683367768596,0.9940239549107905
59,60,0.9508651859504132,0.9940087357806822
60,61,0.9508006198347108,0.9940138088240517
61,62,0.9508974690082644,0.9940188818674212
62,63,0.9511234504132231,0.9940036627373127
63,64,0.9508974690082644,0.9940188818674212
64,65,0.9509620351239668,0.9940154998385081
65,66,0.9504777892561983,0.9940087357806822
66,67,0.9504777892561983,0.9939461682457923
67,68,0.9503809400826446,0.9939461682457923
68,69,0.9505423553719008,0.9939512412891618
69,70,0.9506392045454546,0.9939427862168794
70,71,0.9506069214876034,0.9939410952024228
71,72,0.950832902892562,0.9939461682457923
72,73,0.9506069214876034,0.9939884436072044
73,74,0.9503486570247934,0.9940019717228563
74,75,0.9504777892561982,0.9939681514337266
75,76,0.9506392045454546,0.9939952076650304
76,77,0.950574638429752,0.9939985896939433
77,78,0.9500258264462809,0.9939732244770961
78,79,0.9499612603305785,0.9939664604192702
79,80,0.9502195247933883,0.9939732244770961
80,81,0.9503486570247934,0.9939647694048137
81,82,0.9502518078512396,0.9939546233180748
82,83,0.9501872417355373,0.9939647694048137
83,84,0.9503809400826446,0.9939647694048137
84,85,0.9504777892561983,0.9939816795493785
85,86,0.9505100723140495,0.9939867525927479
86,87,0.9508651859504131,0.9939681514337266
87,88,0.9508651859504131,0.9939444772313358
88,89,0.950574638429752,0.9939512412891618
89,90,0.9506069214876033,0.9939478592602488
90,91,0.9506714876033058,0.9938937467976413
91,92,0.9508974690082644,0.9938971288265543
92,93,0.9506714876033058,0.9938971288265543
93,94,0.9508974690082644,0.9939055838988368
94,95,0.950703770661157,0.9938937467976413
95,96,0.9505746384297521,0.993881909696446
96,97,0.9504455061983471,0.9938683815807942
97,98,0.9506714876033058,0.9938836007109024
98,99,0.9504455061983471,0.9938836007109024
99,100,0.9502840909090909,0.9938836007109024
100,101,0.9503163739669421,0.9938937467976413
101,102,0.9502840909090909,0.9939224940434016
102,103,0.9504455061983471,0.9939258760723145
103,104,0.9504777892561984,0.9939072749132932
104,105,0.9506714876033058,0.9938768366530766
105,106,0.9503809400826446,0.993885291725359
106,107,0.9503486570247934,0.9938802186819895
107,108,0.9505746384297522,0.9938244152049256
108,109,0.950703770661157,0.9938210331760127
109,110,0.9509620351239669,0.993787212886883
110,111,0.9509297520661157,0.9937686117278617
111,112,0.9510266012396694,0.9937652296989486
112,113,0.950832902892562,0.9937905949157959
113,114,0.9507360537190084,0.993790594915796
114,115,0.9505746384297521,0.9937889039013394
115,116,0.950574638429752,0.9938041230314478
116,117,0.9507037706611571,0.9937922859302524
117,118,0.9510266012396693,0.9937956679591654
118,119,0.9509943181818181,0.9937855218724265
119,120,0.9510911673553719,0.9937889039013394
120,121,0.9510911673553719,0.9938007410025348
121,122,0.9511557334710744,0.993793976944709
122,123,0.9510911673553719,0.9937821398435135
123,124,0.9511880165289255,0.993787212886883
124,125,0.9511234504132231,0.993780448829057
125,126,0.9511880165289256,0.9937855218724265
126,127,0.9511234504132231,0.9938176511470996
127,128,0.9511557334710743,0.9938210331760127
128,129,0.9509620351239669,0.9938311792627516
129,130,0.9509620351239669,0.9938311792627516
130,131,0.9513171487603305,0.9938463983928598
131,132,0.9513817148760331,0.9938362523061209
132,133,0.9512848657024793,0.9938024320169913
133,134,0.9513171487603305,0.9938311792627516
134,135,0.9514462809917354,0.993836252306121
135,136,0.951381714876033,0.9938582354940553
136,137,0.9512525826446281,0.9938565444795988
