,dataset,latent,auc
0,cardio,4,0.9214876033057852
1,gas_drift,32,0.993976606506009
2,satellite,16,0.8510766708760571
3,magic_telescope,4,0.9783984784764242
4,pendigits,4,0.9826183431952662
5,phoneme,4,0.7080879464541103
6,pollen,4,0.47569902291479566
7,speech,64,0.5520021499596882
8,waveform,32,0.7899155413948313
