,number of Autoencoders,pollen,speech
115,116,0.5027738646978785,0.5501209352324644
116,117,0.5027228027597476,0.5503896801934964
117,118,0.5026116679532272,0.5503896801934964
118,119,0.5029150359385934,0.5503896801934964
119,120,0.5027648537676201,0.5506584251545283
120,121,0.5031673419858288,0.5506584251545283
121,122,0.5030742290398253,0.5501209352324644
122,123,0.5029360614425298,0.5506584251545283
123,124,0.5027648537676201,0.5506584251545283
124,125,0.5028008974886536,0.5506584251545283
125,126,0.5027077845426502,0.5506584251545283
126,127,0.5028219229925899,0.5509271701155604
127,128,0.5026266861703246,0.5506584251545283
128,129,0.5024885185730291,0.5506584251545283
129,130,0.5027438282636838,0.5509271701155604
130,131,0.5024855149296096,0.5509271701155604
131,132,0.5024735003559317,0.5509271701155604
132,133,0.502359361905992,0.5509271701155604
133,134,0.5022782635336663,0.5511959150765924
134,135,0.5023143072546999,0.5509271701155604
135,136,0.5023233181849583,0.5506584251545283
136,137,0.5023743801230893,0.5509271701155604
137,138,0.5022722562468274,0.5506584251545283
138,139,0.5021851505876629,0.5503896801934963
139,140,0.5022422198126327,0.5506584251545283
140,141,0.5021701323705655,0.5503896801934964
141,142,0.5021941615179213,0.5498521902714324
142,143,0.5022241979521159,0.5503896801934963
143,144,0.5021581177968877,0.5501209352324644
144,145,0.5019568736877833,0.5503896801934963
145,146,0.5018006842299709,0.5503896801934963
146,147,0.5017646405089373,0.5503896801934963
147,148,0.5017105749273869,0.5503896801934963
148,149,0.5016895494234507,0.5503896801934963
149,150,0.5017976805865515,0.5501209352324644
150,151,0.5018096951602293,0.5501209352324644
151,152,0.5018577534549409,0.5501209352324644
152,153,0.5018817826022965,0.5501209352324644
153,154,0.5018998044628133,0.5501209352324644
154,155,0.5020409757035283,0.5501209352324644
155,156,0.5021340886495318,0.5501209352324644
156,157,0.5020589975640453,0.5501209352324644
157,158,0.5021461032232097,0.5501209352324644
158,159,0.5021130631455957,0.5501209352324644
159,160,0.5020199501995921,0.5498521902714324
160,161,0.5020830267114009,0.5501209352324644
161,162,0.5020439793469478,0.5501209352324644
162,163,0.5021521105100487,0.5501209352324644
163,164,0.5020980449284983,0.5501209352324644
164,165,0.5022332088823743,0.5501209352324644
165,166,0.5022902781073442,0.5501209352324644
166,167,0.5023863946967672,0.5501209352324644
167,168,0.5024614857822539,0.5501209352324644
168,169,0.5023773837665088,0.5501209352324644
169,170,0.5023413400454751,0.5501209352324644
170,171,0.5021911578745017,0.5503896801934964
171,172,0.5023683728362505,0.5506584251545283
172,173,0.5023082999678611,0.5503896801934963
173,174,0.5023743801230893,0.5501209352324644
174,175,0.5025696169453547,0.5503896801934963
175,176,0.5025846351624521,0.5503896801934963
176,177,0.5025305695809016,0.5501209352324644
177,178,0.5026897626821334,0.5501209352324644
178,179,0.5028519594267846,0.5501209352324644
179,180,0.5028789922175598,0.5503896801934964
180,181,0.5029060250083351,0.5503896801934964
181,182,0.5029030213649157,0.5501209352324644
182,183,0.5029210432254325,0.5495834453104004
183,184,0.5029961343109192,0.5498521902714324
184,185,0.503008148884597,0.5501209352324643
185,186,0.5030501998924696,0.5501209352324644
186,187,0.5030742290398252,0.5501209352324643
187,188,0.5030562071793085,0.5498521902714324
188,189,0.5028459521399458,0.5495834453104005
189,190,0.5029210432254324,0.5498521902714324
190,191,0.5028129120623316,0.5495834453104004
191,192,0.5027828756281368,0.5495834453104004
192,193,0.5027378209768449,0.5495834453104004
193,194,0.5027438282636838,0.5495834453104004
194,195,0.5027137918294892,0.5495834453104004
195,196,0.5027708610544591,0.5495834453104004
196,197,0.5027197991163281,0.5495834453104004
197,198,0.502629689813744,0.5495834453104004
198,199,0.5024104238441229,0.5495834453104004
199,200,0.5022932817507637,0.5495834453104004
