,dataset,latent,auc
0,cardio,21,0.9435692148760331
1,gas_drift,112,0.9922111874134412
2,satellite,192,0.8739786671847455
3,magic_telescope,112,0.9916696394201657
4,pendigits,16,0.9972468770545694
5,phoneme,96,0.7548910203848135
6,pollen,32,0.5108957165041195
7,speech,112,0.5517334049986563
8,waveform,112,0.8079704647751984
