,number of Autoencoders,magic_telescope,pendigits,phoneme,waveform
35,36,0.9968063089759032,0.9997123602892833,0.8402562880189166,0.8238118024189941
36,37,0.9968269190923568,0.9996712689020381,0.8392006254648082,0.8233585814377803
37,38,0.9968116442188149,0.9997534516765285,0.8412982208577258,0.823422771533832
38,39,0.996810401764986,0.9997123602892833,0.8409198909250396,0.8235239195639743
39,40,0.9967918380430738,0.9996712689020381,0.8410571880780305,0.8234811261666064
40,41,0.9968055050351903,0.9997534516765285,0.8418039320379093,0.8235083583285677
41,42,0.9967832870373111,0.9996712689020381,0.8391876585114699,0.8238040218012908
42,43,0.9967709355845428,0.9997945430637738,0.8414965389676018,0.8238079121101425
43,44,0.9967981964832564,0.9997945430637738,0.8422097214011938,0.8237573380950713
44,45,0.9967908148458031,0.9997945430637738,0.8423416792204574,0.8236133966675614
45,46,0.9968258228095667,0.9998356344510191,0.8423241356953527,0.8236250675941164
46,47,0.996750983237763,0.9998356344510191,0.8426391563852711,0.823239927017806
47,48,0.9967360737918177,0.9997945430637739,0.8419526706203162,0.8228275542795342
48,49,0.9967220413721046,0.9997945430637739,0.8409778608340802,0.8231582305319218
49,50,0.9967400204098622,0.9997945430637739,0.8404858793691958,0.8230920952814444
50,51,0.9967357083642211,0.9997945430637739,0.8400800900059114,0.8231348886788122
51,52,0.9967333696276023,0.9997945430637739,0.8391106195534028,0.8233799781364644
52,53,0.9967319810027347,0.9997534516765286,0.8398955016113345,0.8234422230780902
53,54,0.9967160483595188,0.9997123602892833,0.8393348715699547,0.8238312539632522
54,55,0.9966971922955292,0.9996712689020381,0.8400633092427681,0.8238468151986585
55,56,0.9967119555704357,0.9997123602892833,0.8389977307831659,0.8238195830366973
56,57,0.9967207989182759,0.9997123602892833,0.8369054747239755,0.8235900548144517
57,58,0.99670815512343,0.9997123602892833,0.8364516313571442,0.8239868663173169
58,59,0.9967031853081151,0.9997123602892833,0.835235788791213,0.8245431804830987
59,60,0.9966811134812745,0.9997534516765285,0.836598844415629,0.8247104637637183
