,number of Autoencoders,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
77,78,0.9500258264462808,0.993973224477096,0.8705546336537029,0.9966982885783192,0.9997945430637738,0.8340748650864781,0.5031613346989898,0.5501209352324644,0.8240160436337041
78,79,0.9499612603305784,0.9939664604192702,0.8704396753347156,0.9966957305851424,0.9997945430637738,0.8343509849163822,0.503347560590997,0.5506584251545283,0.8241736011421947
79,80,0.9502195247933884,0.993973224477096,0.8705885463578044,0.9966846215862027,0.9997945430637738,0.8341213935661029,0.5034466808238393,0.5503896801934963,0.8241308077448268
80,81,0.9503486570247934,0.9939647694048136,0.8706506238500576,0.9967048662750598,0.9997534516765284,0.834474552354074,0.5030261707451138,0.5503896801934963,0.8240218790969815
81,82,0.9502518078512396,0.9939546233180748,0.8707466140464122,0.9967017235977284,0.9997534516765284,0.8345142159760492,0.503098258187181,0.5503896801934963,0.8240957949651624
82,83,0.9501872417355371,0.9939647694048136,0.8709477911046403,0.9967202142341212,0.9997534516765284,0.8343219999618618,0.5033085132265438,0.5498521902714324,0.8240218790969815
83,84,0.9503809400826446,0.9939647694048136,0.8708690446561337,0.9967327849434476,0.9997123602892832,0.8344409908277874,0.5032995022962854,0.5498521902714324,0.823842924889807
84,85,0.9504777892561984,0.9939816795493784,0.8708155890378046,0.9967351236800662,0.9997123602892832,0.8350839991609619,0.503470709971195,0.5498521902714324,0.8238973892137297
85,86,0.9505100723140496,0.993986752592748,0.870628206977855,0.996752883461266,0.9997123602892832,0.8346438855094298,0.5035187682659066,0.5498521902714324,0.8239479632288008
86,87,0.9508651859504132,0.9939681514337266,0.870498878868994,0.9967331503710444,0.999671268902038,0.835342956846742,0.5037500488092056,0.5498521902714324,0.8239829760084654
87,88,0.9508651859504132,0.9939444772313358,0.8706488994752727,0.996727742042613,0.9997123602892832,0.8353074884155527,0.503380600668611,0.5498521902714324,0.8241658205244915
88,89,0.950574638429752,0.9939512412891618,0.8706207346871209,0.9967149520767288,0.999671268902038,0.8349573806754257,0.5033325423738996,0.5506584251545283,0.8239635244642073
89,90,0.9506069214876032,0.9939478592602488,0.8707966209151715,0.9967104207745296,0.9997123602892832,0.8347239755153412,0.503149320125312,0.5506584251545283,0.8240607821854977
90,91,0.9506714876033058,0.9938937467976412,0.8707172996750703,0.996700188801822,0.9997123602892832,0.8352174825041475,0.5028940104346573,0.5501209352324644,0.8241385883625301
91,92,0.9508974690082644,0.9938971288265545,0.8709920500574504,0.9966804557116004,0.9997123602892832,0.8348444919051887,0.502860970357043,0.5506584251545283,0.8242514073192271
