,cardio mean,cardio std,gas-drift mean,gas-drift std,satellite mean,satellite std,magic_telescope mean,magic_telescope std,pendigits mean,pendigits std,phoneme mean,phoneme std,pollen mean,pollen std,speech mean,speech std,waveform mean,waveform std
0,0.9375290547520662,0.013758041262971945,0.9936771278457661,0.0008788078484002836,0.8563730018088691,0.006449011830188504,0.9955653132032426,0.0007341675190578647,0.9969181459566074,0.0020278505931931234,0.7689702332144697,0.031177100326574312,0.4974583169384463,0.00819653752191917,0.5728298844396666,0.013367867105774213,0.8016113659263409,0.011862153554752675
1,0.9439243285123968,0.007529762864154769,0.994185277689939,0.0005859145231306386,0.8560287303830814,0.003423442817799127,0.996545642162627,0.00031977233183629034,0.997965976331361,0.0014382279042745739,0.7993438721610953,0.01750575819595298,0.49908644185396883,0.005678066898278844,0.5759742004837409,0.00967093594640878,0.8120222214441604,0.005345769142277173
2,0.9439501549586777,0.00860328410024727,0.9942774379778173,0.0005439236518549351,0.8584831767122036,0.004036861896014784,0.9968850440058874,0.00033542924245839217,0.9989644970414202,0.0009019161681997809,0.8119819988177189,0.011873625161839995,0.501066894142595,0.004004175067466883,0.5753829615694706,0.007239173193155879,0.8163719757711565,0.004970572032603669
3,0.9464811466942148,0.006603425108126773,0.9942267075441229,0.0006088278860731545,0.8591851696871007,0.003690330099653009,0.9972135414896626,0.00027578659918642707,0.9990672255095332,0.0006092205248201993,0.8132595488263,0.008862139504277123,0.502680451387533,0.0030241864079147327,0.5758129535071216,0.00518503687959586,0.8181253379705815,0.003674484359677223
4,0.9466199638429753,0.004932007117601587,0.9942606969346981,0.0004533748203188072,0.8580579746298485,0.002860871187684139,0.9972738735858776,0.000251269178838732,0.9993055555555556,0.00044992723573585876,0.8151446387368662,0.009202111275058976,0.5028609703570431,0.0033094120841472142,0.5764310669174952,0.003935898177244502,0.8198750043765974,0.0036230396886447118
5,0.9474883780991735,0.005156084418321892,0.9941431714299724,0.0004173259575712185,0.8581910101444968,0.003048591951983497,0.9972573928012665,0.0002097987729401817,0.9993302103879028,0.00041786122427709397,0.8167450277454662,0.009445067602718923,0.5032930444629334,0.003410842963879323,0.575705455522709,0.0031997583587502817,0.820876953421332,0.0030603476026978193
6,0.9473463326446282,0.00580999977876089,0.994139620299614,0.0003641215531237281,0.8581148502581677,0.0033040552650347417,0.9973044744928247,0.0001693008562525371,0.9994452662721892,0.0003059860156333472,0.8214784615091247,0.009095549782170496,0.5027713116009719,0.003815608879637837,0.575436710561677,0.003700101860681683,0.8224042886764782,0.00243365595332688
7,0.9477918388429751,0.005501449842105145,0.9940875370543545,0.00041627692949100314,0.8571465850769157,0.003131737853306625,0.9973571910779245,0.00016510597361904183,0.9994370479947403,0.0003462665657097828,0.8232597395167902,0.00792958248767694,0.5031933235014071,0.003268420493975745,0.5751142166084386,0.0032294155089061657,0.8222685168975564,0.001799922810617332
8,0.9477982954545453,0.004877349338144582,0.9940995432569952,0.0003174201700287548,0.856822287659052,0.004041229873085853,0.9973546586646794,0.0001795960091579792,0.9995151216305063,0.000240165009799508,0.8249032627142885,0.008087063221624242,0.503211645726266,0.0037033300463786877,0.5750873421123355,0.002791456898592549,0.822668440647503,0.0020178919511336223
9,0.9481889204545455,0.003640362484720226,0.9940978522425388,0.0003192839946603509,0.858222106369783,0.0032816974230474873,0.9974380382794177,0.00021707652009135602,0.9994863576594346,0.00024808446495929663,0.8238021014092028,0.008405360481727032,0.5036037713746774,0.0038901932271545757,0.5750067186240257,0.002143904399374263,0.822872681862213,0.0017828493890814567
