,dataset,latent,auc
0,cardio,4,0.9127388946280992
1,gas_drift,16,0.9786830717615804
2,satellite,16,0.8296754554217504
3,magic_telescope,4,0.9729579924167926
4,pendigits,4,0.9909598948060486
5,phoneme,4,0.7605057111801834
6,pollen,4,0.49403326234722716
7,speech,256,0.5528083848427843
8,waveform,32,0.7883088438391124
