,dataset,latent,auc
0,cardio,32,0.9346913739669421
1,gas_drift,64,0.9939055838988368
2,satellite,32,0.8534154978758577
3,magic_telescope,8,0.9558192188751247
4,pendigits,8,0.9944115713346482
5,phoneme,4,0.7080879464541103
6,pollen,4,0.4902666934992146
7,speech,128,0.5646331631281913
8,waveform,64,0.8048387661496447
