,latent space,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,4,0.9325606921487603,0.8960753245479496,0.7847485947782482,0.9559334515418524,0.9810979618671927,0.6891272096260559,0.4775552745480267,0.5165278151034669,0.8108064999280293
1,8,0.95338326446281,0.9407992748930011,0.832786802325147,0.967988907956901,0.9982741617357003,0.7288053240784882,0.47498715942438174,0.5116904058048912,0.8136775478605247
2,16,0.9617122933884299,0.9886143996645027,0.8360734606649993,0.9814666816638151,1.0,0.7416868480768865,0.5066425574221531,0.5165278151034668,0.8021700142774335
3,32,0.9581611570247934,0.9903121781788112,0.8402251803552326,0.9877456778868288,0.9942472057856674,0.7542068229057417,0.48005730951644343,0.5321150228433217,0.7834226159214781
4,64,0.9442148760330579,0.9921012714737698,0.8750483543429242,0.9948177981657141,0.9945759368836292,0.7541198680421808,0.49519266870714174,0.5581832840634238,0.7924403518395325
5,96,0.9321410123966941,0.9945684615657779,0.8671581901192175,0.9934910767331446,0.9969181459566075,0.7236437138879883,0.49612980545401575,0.5592582639075517,0.8102735276153574
6,112,0.965779958677686,0.994270843021437,0.842511126528299,0.9932132055886158,0.9986850756081525,0.6954451669495243,0.48044778316097425,0.5364149422198333,0.8080327097168244
7,128,0.9557722107438016,0.9952228841604367,0.8519158666046658,0.9940777341968826,0.9921104536489153,0.7605224919433268,0.47143685290257076,0.5525396398817523,0.8088146617959999
8,144,0.9728499483471075,0.9936756059327552,0.831711942042614,0.9931700120466862,0.9967126890203813,0.7436562994603458,0.4842894430944736,0.5501209352324643,0.7921407980579578
9,160,0.9515431301652892,0.9875794988171354,0.8568993097327737,0.9960829085054808,0.9979454306377384,0.7598405827501382,0.5008665511265165,0.5536146197258802,0.8204311240269364
10,192,0.9440534607438016,0.9916362424982371,0.8577258600462937,0.9931157095058171,0.9917406311637081,0.7819618237638488,0.4750382213625127,0.5372211771029293,0.8182214285992164
11,256,0.9465069731404959,0.993257925362004,0.841279922931943,0.9932978020772512,0.9933431952662722,0.7912274746858374,0.471091433909332,0.5522708949207202,0.8124209781014514
12,320,0.9506069214876033,0.9919761364039901,0.8773526938470284,0.9936156875436184,0.9942061143984221,0.7933121031254173,0.4797479342442382,0.5522708949207203,0.7912460270220854
