,epoch_size,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,50,0.910963326446281,0.9825774780548598,0.8230636277051847,0.9917970274803745,0.985042735042735,0.7803550656928738,0.5085438637066763,0.5299650631550659,0.7978556617609872
1,100,0.9213261880165289,0.9897270871768682,0.8587731303322698,0.9950073089173616,0.9981097961867194,0.6628965885471292,0.49563420428980354,0.5509271701155602,0.8231621208407736
2,200,0.9365960743801652,0.9942962082382842,0.8587587605423963,0.9926818007774985,0.9960963182117029,0.7654453576400144,0.5054260818372687,0.5705455522708949,0.7919423923065252
3,500,0.9377259814049587,0.9934659201401512,0.8781723466614093,0.9902923428082132,0.9955210387902695,0.8499715871169504,0.4952887852965647,0.542327331362537,0.8009523476068765
4,1000,0.9301394628099174,0.9921570749508337,0.8665069512421534,0.9946209057766138,0.9963017751479291,0.7912389161152534,0.500067581976938,0.5439398011287289,0.8031231399460803
5,1500,0.9393078512396693,0.9948643890956624,0.8626638946384015,0.9934891034241223,0.9954388560157791,0.7859636543925556,0.5147794274454914,0.5630206933619994,0.8022244786013562
6,2000,0.9289772727272727,0.9927472389961461,0.853302263931655,0.9927925253392977,0.9986028928336621,0.757312026849221,0.4940332623472272,0.5503896801934963,0.7892464082723527
7,2500,0.946926652892562,0.9887699729944992,0.8588306094917636,0.9947228600760921,0.9959730440499671,0.747797334146946,0.5030051452411776,0.5584520290244558,0.8059980781874273
8,3000,0.9349819214876033,0.994270843021437,0.8344192104547694,0.995292854041421,0.9994247205785667,0.7297442840525543,0.5174947210966903,0.5614082235958076,0.8096822006699111
9,3500,0.9508329028925621,0.9914586859803064,0.8515181108209691,0.9946998381375004,0.9962195923734385,0.7511550122995366,0.48879490822367533,0.5726955119591508,0.8186707592715785
10,4000,0.9212293388429752,0.9932359421740696,0.879811077498576,0.9934592114467126,1.0,0.7226696668637135,0.49787191863730706,0.5721580220370868,0.7986648460021241
