,batch_size,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,16,0.8881069214876034,0.9897439973214331,0.8548754685269988,0.9863228489963274,0.9996712689020382,0.8121652905169618,0.4982804141423547,0.5151840902983069,0.7712342782893533
1,32,0.9467329545454547,0.987953213012018,0.8610021721374373,0.9876881595831085,0.9978632478632479,0.7177795999313514,0.5051827867202917,0.5202902445579145,0.7928838470486171
2,64,0.9295260847107437,0.9937601566555792,0.8630415327162755,0.9966099281854378,0.9989727153188691,0.7698663259663241,0.4853287037176095,0.5579145391023919,0.7872856926111362
3,96,0.9326252582644629,0.9939782975204655,0.8613252050137922,0.9949195332086349,0.9962195923734386,0.7660990446406438,0.4951025594045577,0.5622144584789035,0.8155293348738957
4,128,0.9379519628099173,0.9918780575655142,0.8550272135080623,0.9937147184223234,0.9929322813938198,0.7861032398314296,0.5155934148121673,0.5686643375436711,0.8061225680706792
5,256,0.9385653409090908,0.9943435566430658,0.8439860417609085,0.9965466361256899,0.9939595660749506,0.783458744112431,0.503533786483004,0.5471647406611126,0.8068461655170803
6,512,0.9287190082644627,0.9936502407159079,0.8527924237869453,0.9978004182099588,0.9983152531229454,0.7031513510421236,0.5058706210633499,0.6116635313087879,0.8173616703430084
