,dataset,AUC
0,cardio,0.9033122417355371
1,gas_drift,0.9953175809699997
2,satellite,0.7973606719543661
3,magic_telescope,0.9598403841491833
4,pendigits,0.9674967126890204
5,phoneme,0.6820701359623196
6,pollen,0.49376593808289454
7,speech,0.5751142166084385
8,waveform,0.8273442028562648
